PWY_NAME	PWY_COMMON_NAME
PWY-6240	starch plastidic translocation I
PWY-6238	nucleobase ascorbate transport II
PWY-6237	nucleobase ascorbate transport I
PWY-6229	nucleobase derivative transport
PWY-6213	cadmium transport I
PWY-6188	calmodulin regulated calcium transport
PWY-6171	calcium transport II
PWY-6166	calcium transport I
PWY-6162	HAK potassium transport
PWY-6161	sodium transport I
PWY-6159	potassium transport IV
PWY-6156	potassium transport III
PWY-6150	potassium transport II
PWY-6149	potassium transport I
PWY-6137	copper transport II
PWY-6135	copper transport I
PWY-5937	Fe(III)-phytosiderophore transport
PWY-5934	Fe(III)-reduction and Fe(II) transport
TCA	TCA cycle I (prokaryotic)
REDCITCYC	TCA cycle III (helicobacter)
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)
PWY-5913	TCA cycle VI (obligate autotrophs)
PWY-5690	TCA cycle II (eukaryotic)
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)
GLYOXYLATE-BYPASS	glyoxylate cycle
PWY-6530	perchlorate reduction
PWY-6529	chlorate reduction
PWY-4601	arsenate reduction (respiratory)
ANARESP1-PWY	respiration (anaerobic)
PWY-4302	aerobic respiration (alternative oxidase pathway)
PWY-3781	aerobic respiration (cytochrome c)
PWY-241	C4 photosynthetic carbon assimilation cycle
PWY-181	photorespiration
PWY-101	photosynthesis light reactions
P21-PWY	pentose phosphate pathway (partial)
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)
PWY66-368	ketolysis
PWY66-367	ketogenesis
PWY-6118	glycerol-3-phosphate shuttle
PWY-5261	methanogenesis from tetramethylammonium
PWY-5259	methanogenesis from methanethiol
PWY-5250	methanogenesis from trimethylamine
PWY-5248	methanogenesis from dimethylamine
PWY-5247	methanogenesis from methylamine
PWY-5209	methyl-coenzyme M oxidation to CO2
METHFORM-PWY	methyl-coenzyme M reduction to methane
METHANOGENESIS-PWY	methanogenesis from CO2
METH-ACETATE-PWY	methanogenesis from acetate
PWY-6785	hydrogen production VIII
PWY-6780	hydrogen production VI
PWY-6772	hydrogen production V
PWY-6765	hydrogen production IV
PWY-6759	hydrogen production III
PWY-6758	hydrogen production II
PWY-6744	hydrogen production I
PWY-5484	glycolysis II (from fructose-6P)
PWY-1042	glycolysis IV (plant cytosol)
P341-PWY	glycolysis V (Pyrococcus)
GLYCOLYSIS	glycolysis I
ANAGLYCOLYSIS-PWY	glycolysis III (glucokinase)
PWY-6588	pyruvate fermentation to acetone
PWY-6587	pyruvate fermentation to ethanol III
PWY-5768	pyruvate fermentation to acetate VIII
PWY-5494	pyruvate fermentation to propionate II (acrylate pathway)
PWY-5486	pyruvate fermentation to ethanol II
PWY-5482	pyruvate fermentation to acetate II
PWY-5481	pyruvate fermentation to lactate
PWY-5480	pyruvate fermentation to ethanol I
P108-PWY	pyruvate fermentation to propionate I
CENTFERM-PWY	pyruvate fermentation to butanoate
PWY-6392	meso-butanediol biosynthesis II
PWY-6391	meso-butanediol biosynthesis I
PWY-6390	(S,S)-butanediol biosynthesis
PWY-5951	(R,R)-butanediol biosynthesis
PWY3O-440	acetoin biosynthesis III
PWY-6389	(S)-acetoin biosynthesis
PWY-5939	(R)-acetoin biosynthesis II
PWY-5938	(R)-acetoin biosynthesis I
PWY-6863	pyruvate fermentation to hexanol
PWY-6583	pyruvate fermentation to butanol I
PWY-5677	succinate fermentation to butyrate
P122-PWY	heterolactic fermentation
FERMENTATION-PWY	mixed acid fermentation
PYRUVOX-PWY	pyruvate oxidation pathway
PWY0-1356	formate to dimethyl sulfoxide electron transfer
PWY0-1355	formate to trimethylamine N-oxide electron transfer
PWY0-1353	succinate to cytochrome bd oxidase electron transfer
PWY0-1348	NADH to dimethyl sulfoxide electron transfer
PWY0-1347	NADH to trimethylamine N-oxide electron transfer
PWY0-1336	NADH to fumarate electron transfer
PWY0-1335	NADH to cytochrome bo oxidase electron transfer
PWY0-1334	NADH to cytochrome bd oxidase electron transfer
PWY0-1329	succinate to cytochrome bo oxidase electron transfer
PWY-6512	hydrogen oxidation III (anaerobic, NADP)
PWY-5382	hydrogen oxidation II (aerobic, NAD)
P283-PWY	hydrogen oxidation I (aerobic)
P301-PWY	galena oxidation
P282-PWY	nitrite oxidation
PWY-6970	acetyl-CoA biosynthesis II (NADP-dependent pyruvate dehydrogenase)
PWY-5172	acetyl-CoA biosynthesis III (from citrate)
PWY0-1517	sedoheptulose bisphosphate bypass
PWY-6938	NADH repair
PWY-6883	pyruvate fermentation to butanol II
PWY-6876	isopropanol biosynthesis
PWY-6871	3-methylbutanol biosynthesis
PWY-6859	all-trans-farnesol biosynthesis
PWY-6728	methylaspartate cycle
PWY-5741	ethylmalonyl pathway
PWY-5723	Rubisco shunt
PWY-5197	lactate biosynthesis (archaea)
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I
PWY-6873	long chain fatty acid ester synthesis for microdiesel production
P641-PWY	phenylmercury acetate degradation
PWY-6726	cyanide detoxification I
PWY-6421	arsenate detoxification III (mycothiol)
PWY-4621	arsenate detoxification II (glutaredoxin)
PWY-4202	arsenate detoxification I (glutaredoxin)
PWY-4521	arsenite oxidation (respiratory)
PWY-6828	linezolid resistance
PWY0-1305	glutamate dependent acid resistance
PWY0-1299	arginine dependent acid resistance
PWY-6900	nectroscordum lachrymator biosynthesis
PWY-6842	glutathione-mediated detoxification II
PWY-6786	detoxification of reactive carbonyls in chloroplasts
PWY-6646	fluoroacetate degradation
PWY-6502	oxidized GTP and dGTP detoxification
PWY-2261	ascorbate glutathione cycle
DETOX1-PWY	superoxide radicals degradation
PWY-6946	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)
PWY-6945	cholesterol degradation to androstenedione I (cholesterol oxidase)
PWY-6948	sitosterol degradation to androstenedione
PWY-6944	androstenedione degradation
PWY-6943	testosterone and androsterone degradation to androstendione
PWY-6526	limonene degradation III (to perillate)
PWY-5924	limonene degradation II (L-limonene)
PWY-5923	limonene degradation I (D-limonene)
PWY-5927	(4S)-carveol and (4S)-dihydrocarveol degradation
PWY-5922	(4R)-carveol and (4R)-dihydrocarveol degradation
PWY-6678	geraniol and nerol degradation
PWY-6672	cis-genanyl-CoA degradation
PWY-6670	citronellol degradation
PWY-6413	ginsenoside degradation III
PWY-6412	ginsenoside degradation II
PWY-6411	ginsenoside degradation I
P601-PWY	D-camphor degradation
6-HYDROXYCINEOLE-DEGRADATION-PWY	1,8-cineole degradation
PWY-6806	carotenoid cleavage dioxygenases
SORBDEG-PWY	sorbitol degradation II
RIBITOLUTIL-PWY	ribitol degradation
PWY-6531	mannitol cycle
PWY-4101	sorbitol degradation I
P562-PWY	myo-inositol degradation
MANNIDEG-PWY	mannitol degradation I
LARABITOLUTIL-PWY	xylitol degradation
GALACTITOLCAT-PWY	galactitol degradation
DARABITOLUTIL-PWY	D-arabitol degradation
PWY-6501	D-glucuronate degradation II
PWY-5525	D-glucuronate degradation I
GLUCUROCAT-PWY	beta-D-glucuronide and D-glucuronate degradation
PWY-6499	D-glucarate degradation II
GLUCARDEG-PWY	D-glucarate degradation I
PWY-6491	D-galacturonate degradation III
PWY-6486	D-galacturonate degradation II
GALACTUROCAT-PWY	D-galacturonate degradation I
PWY-6497	D-galactarate degradation II
GALACTARDEG-PWY	D-galactarate degradation I
PWY0-1306	L-galactonate degradation
IDNCAT-PWY	L-idonate degradation
GALACTCAT-PWY	D-galactonate degradation
PWY-4781	phytate degradation II
PWY-4702	phytate degradation I
PWY0-521	fructoselysine and psicoselysine degradation
PWY0-1261	1,6-anhydro-N-acetylmuramic acid recycling
PWY-6507	5-dehydro-4-deoxy-D-glucuronate degradation
PWY-6667	resveratrol degradation
PWY-6684	glucosinolate breakdown (via thiocyanate-forming protein)
PWY-6011	amygdalin and prunasin degradation
PWY-6002	lotaustralin degradation
PWY-5976	dhurrin degradation
PWY-3121	linamarin degradation
PWY-6633	caffeine degradation V (bacteria, to trimethylurate)
PWY-6553	caffeine degradation II
PWY-6552	caffeine degradation I (main, plants)
PWY-6538	caffeine degradation III (bacteria, via demethylation)
PWY-5461	betanidin degradation
PWY-5708	ethiin degradation
PWY-5706	alliin degradation
PWY-31	canavanine degradation
PWY-6848	rutin degradation
PWY0-1527	curcumin degradation
PWY-4441	DIMBOA-glucoside degradation
PWY-6423	hemoglobin degradation
PWY-6018	seed germination protein turnover
PWY-5988	wound-induced proteolysis I
PWY-6341	guaiacylglycerol-beta-guaiacyl ether degradation
PWY-743	thiocyanate degradation II
P581-PWY	thiocyanate degradation I
PWY66-221	nicotine degradation III
PWY66-201	nicotine degradation II
P181-PWY	nicotine degradation I
PWY-5336	carbon disulfide oxidation II (aerobic)
PWY-1164	carbon disulfide oxidation I (anaerobic)
PWY66-241	bupropion degradation
PWY1G-1	mycothiol-mediated detoxification
PWY-723	alkylnitronates degradation
PWY-6518	glycocholate metabolism (bacteria)
PWY-6377	alpha-tocopherol degradation
PWY-5744	glyoxylate assimilation
PWY-5355	nitroethane degradation
P621-PWY	nylon-6 oligomer degradation
P482-PWY	arsonoacetate degradation
P481-PWY	adamantanone degradation
P401-PWY	cyanide degradation
P344-PWY	acrylonitrile degradation
P221-PWY	octane oxidation
P201-PWY	nitroglycerin degradation
7ALPHADEHYDROX-PWY	cholate degradation (bacteria, anaerobic)
PWY-4061	glutathione-mediated detoxification
P161-PWY	acetylene degradation
THIOSULFOX-PWY	thiosulfate oxidation I (to tetrathionate)
PWY-6677	thiosulfate oxidation IV (multienzyme complex)
PWY-5303	thiosulfate oxidation II (to tetrathionate)
PWY-5296	thiosulfate oxidation III (multienzyme complex)
PWY-5352	thiosulfate disproportionation II (non thiol-dependent)
PWY-5277	thiosulfate disproportionation I (thiol-dependent)
PWY-5350	thiosulfate disproportionation III (rhodanese)
PWY-5359	tetrathionate reductiuon II (to trithionate)
PWY-5358	tetrathionate reduction I (to thiosulfate)
PWY-5364	sulfur reduction II (via polysulfide)
PWY-5332	sulfur reduction I
PWY-6675	sulfur oxidation IV (intracellular sulfur)
SULFUROX-PWY	sulfur oxidation I (aerobic)
FESULFOX-PWY	sulfur oxidation II (Fe+3-dependent)
PWY-5302	sulfur disproportionation II (aerobic)
P203-PWY	sulfur disproportionation I (anaerobic)
PWY-6638	sulfolactate degradation III
PWY-6637	sulfolactate degradation II
PWY-6616	sulfolactate degradation I
PWY-6718	sulfoacetaldehyde degradation III
PWY-5982	sulfoacetaldehyde degradation II
PWY-1281	sulfoacetaldehyde degradation I
PWY-5326	sulfite oxidation IV
PWY-5279	sulfite oxidation II
PWY-5278	sulfite oxidation III
PWY-5276	sulfite oxidation I (sulfite oxidoreductase)
PWY-5274	sulfide oxidation II (sulfide dehydrogenase)
PWY-5285	sulfide oxidation III (sulfur dioxygenase)
P222-PWY	sulfide oxidation I (sulfide-quinone reductase)
SULFMETII-PWY	sulfate reduction II (assimilatory)
PWY-6683	sulfate reduction III (assimilatory)
P224-PWY	sulfate reduction V (dissimilatory)
DISSULFRED-PWY	sulfate reduction IV (dissimilatory)
PWY-6048	methylthiopropionate degradation I (cleavage)
PWY-6045	methylthiopropionate degradation II (demethylation)
PWY-6056	dimethylsulfoniopropionate degradation II (cleavage)
PWY-6052	dimethylsulfoniopropionate degradation III (demethylation)
PWY-6046	dimethylsulfoniopropionate degradation I (cleavage)
PWY-6059	dimethyl sulfide degradation II (oxidation)
PWY-6057	dimethyl sulfide degradation III (oxidation)
PWY-6047	dimethyl sulfide degradation I
PWY-6736	sulfur volatiles biosynthesis
PWY-6642	(R)-cysteate degradation
PWY-6634	2,3-dihydroxypropane-1-sulfonate degradation
PWY-6593	sulfoacetate degradation
PWY-6327	tetrathionate oxidation
PWY-6321	homotaurine degradation
PWY-6058	dimethyl sulfone degradation
PWY-6050	dimethyl sulfoxide degradation
PWY-6044	methanesulfonate degradation
PWY-6043	ethanedisulfonate degradation
PWY-5707	isoalliin degradation
PWY-5260	methanogenesis from methylthiopropionate
PWY-5258	methanogenesis from dimethylsulfide
PWY-2601	isethionate degradation
ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase
PWY-6832	2-aminoethylphosphonate degradation II
PHOSPHONOTASE-PWY	2-aminoethylphosphonate degradation I
PWY0-1533	methylphosphonate degradation
PWY-6357	phosphate utilization in cell wall regeneration
PWY-6348	phosphate acquisition
PWY-5491	diethylphosphate degradation
P483-PWY	phosphonoacetate degradation
PWY490-3	nitrate reduction VI (assimilatory)
PWY-6748	nitrate reduction VII (denitrification)
PWY-5675	nitrate reduction V (assimilatory)
PWY-5674	nitrate reduction IV (dissimilatory)
PWY-381	nitrate reduction II (assimilatory)
DENITRIFICATION-PWY	nitrate reduction I (denitrification)
PWY0-1352	nitrate reduction VIII (dissimilatory)
PWY0-1321	nitrate reduction III (dissimilatory)
PWY-2242	ammonia oxidation III
P303-PWY	ammonia oxidation II (anaerobic)
AMMOXID-PWY	ammonia oxidation I (aerobic)
PWY-6964	ammonia assimilation cycle II
PWY-6963	ammonia assimilation cycle I
PWY-6523	intra-aerobic nitrite reduction
PWY-4984	urea cycle
